鉢檎 昔畿什|努什闘|壕井 戚耕走|蝶遣斗 戚耕走|紫錘球 督析誤|反引製 督析誤|1腰 識澱走|1腰 識澱 獣 戚疑 樟|2腰 識澱走|2腰 識澱 獣 戚疑 樟|尻窒 反引 推短
1|"ぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞしぞしぞし ぞしぞし
ぞしぞし"|SCENE_STORY_PROLOGUE1.jpg||BGM_STORY_INTRO.mp3|||2|||
2|"ぞしぞし ぞしぞし
ぞしぞし"||||||3|||
3|"ぞしぞし ぞしぞし
ぞしぞし"||||||4|||
4|"ぞしぞし ぞしぞし
ぞしぞし"||||||5|||
5|"ぞしぞし ぞしぞし
ぞしぞし"||||||6|||
6|"ぞしぞし ぞしぞし
ぞしぞし"||||||7|||
7|"ぞしぞし ぞしぞし
ぞしぞし"||||||8|||
8|"ぞしぞし ぞしぞし
ぞしぞし"||||||9|||
9|"ぞしぞし ぞしぞし
ぞしぞし"||||||10|||
10|"ぞしぞし ぞしぞし
ぞしぞし"||||||11|||
11|"ぞしぞし ぞしぞし
ぞしぞし"||||||12|||
12|"ぞしぞし ぞしぞし
ぞしぞし"||||||13|||
13|"ぞしぞし ぞしぞし
ぞしぞし"|SCENE_STORY_PROLOGUE1.jpg||BGM_STORY_INTRO.mp3|||14|||
14|"ぞしぞし ぞしぞし
ぞしぞし"||||||15|||
15|"ぞしぞし ぞしぞし
ぞしぞし"||||||16|||
16|"ぞしぞし ぞしぞし
ぞしぞし"||||||17|||
17|"ぞしぞし ぞしぞし
ぞしぞし"||||||18|||
18|"ぞしぞし ぞしぞし
ぞしぞし"||||||19|||
19|"ぞしぞし ぞしぞし
ぞしぞし"||||||20|||
20|"ぞしぞし ぞしぞし
ぞしぞし"||||||21|||
21|"ぞしぞし ぞしぞし
ぞしぞし"||||||22|||
22|"ぞしぞし ぞしぞし
ぞしぞし"||||||23|||
23|"ぞしぞし ぞしぞし
ぞしぞし"||||||24|||
24|"ぞしぞし ぞしぞし
ぞしぞし"||||||25|||
25|"ぞしぞし ぞしぞし
ぞしぞし"||||||26|||
26|"ぞしぞし ぞしぞし
ぞしぞし"||||||27|||
27|"ぞしぞし ぞしぞし
ぞしぞし"||||||28|||
28|"ぞしぞし ぞしぞし
ぞしぞし"||||||29|||
29|"ぞしぞし ぞしぞし
ぞしぞし"||||||30|||
30|"ぞしぞし ぞしぞし
ぞしぞし"||||||31|||
31|"ぞしぞし ぞしぞし
ぞしぞし"|SCENE_STORY_PROLOGUE1.jpg||BGM_STORY_INTRO.mp3|||32|||
32|"ぞしぞし ぞしぞし
ぞしぞし"||||||33|||
33|"ぞしぞし ぞしぞし
ぞしぞし"||||||34|||
34|"ぞしぞし ぞしぞし
ぞしぞし"||||||35|||
35|"ぞしぞし ぞしぞし
ぞしぞし"||||||36|||
36|"ぞしぞし ぞしぞし
ぞしぞし"||||||37|||
37|"ぞしぞし ぞしぞし
ぞしぞし"||||||38|||
38|"ぞしぞし ぞしぞし
ぞしぞし"||||||39|||
39|"ぞしぞし ぞしぞし
ぞしぞし"||||||40|||
40|"ぞしぞし ぞしぞし
ぞしぞし"||||||41|||
